SR:0.310000, AS:207.806452, SPL:0.035216, AR:0.086086
0880799c157b4dff08f90db221d7f884 toilet -6 1 1
0880799c157b4dff08f90db221d7f884 bathtub 2 -3 3
0880799c157b4dff08f90db221d7f884 bed -3 1 2
0880799c157b4dff08f90db221d7f884 television 0 -1 3
0880799c157b4dff08f90db221d7f884 toilet -4 -3 1
0880799c157b4dff08f90db221d7f884 tv_stand -9 -6 0
0880799c157b4dff08f90db221d7f884 bathtub 5 5 1
0880799c157b4dff08f90db221d7f884 television -5 2 1
0880799c157b4dff08f90db221d7f884 television 1 1 3
0880799c157b4dff08f90db221d7f884 sofa -4 5 2
0880799c157b4dff08f90db221d7f884 sofa 5 -8 2
0880799c157b4dff08f90db221d7f884 sofa -4 -4 1
0880799c157b4dff08f90db221d7f884 tv_stand 4 -3 3
0880799c157b4dff08f90db221d7f884 sofa 3 -4 3
0880799c157b4dff08f90db221d7f884 television 3 -1 0
0880799c157b4dff08f90db221d7f884 television -4 -3 3
0880799c157b4dff08f90db221d7f884 sofa -9 -6 3
0880799c157b4dff08f90db221d7f884 tv_stand 3 -7 1
0880799c157b4dff08f90db221d7f884 television 8 -5 3
0880799c157b4dff08f90db221d7f884 television -1 -1 2
0880799c157b4dff08f90db221d7f884 bed 8 7 0
0880799c157b4dff08f90db221d7f884 bed -1 -1 3
0880799c157b4dff08f90db221d7f884 tv_stand 0 4 3
0880799c157b4dff08f90db221d7f884 bathtub 5 -5 0
0880799c157b4dff08f90db221d7f884 bathtub -9 -3 0
0880799c157b4dff08f90db221d7f884 tv_stand -6 1 2
0880799c157b4dff08f90db221d7f884 tv_stand 3 -8 1
0880799c157b4dff08f90db221d7f884 tv_stand 6 3 2
0880799c157b4dff08f90db221d7f884 tv_stand 0 3 1
0880799c157b4dff08f90db221d7f884 bed -4 2 1
0880799c157b4dff08f90db221d7f884 bathtub -6 1 3
0880799c157b4dff08f90db221d7f884 sofa -1 4 0
0880799c157b4dff08f90db221d7f884 television 1 -1 0
0880799c157b4dff08f90db221d7f884 toilet -3 -3 3
0880799c157b4dff08f90db221d7f884 tv_stand 6 5 2
0880799c157b4dff08f90db221d7f884 television -4 -2 0
0880799c157b4dff08f90db221d7f884 sofa -9 -6 1
0880799c157b4dff08f90db221d7f884 toilet 6 5 0
0880799c157b4dff08f90db221d7f884 bathtub -3 -2 2
0880799c157b4dff08f90db221d7f884 sofa -5 2 3
0880799c157b4dff08f90db221d7f884 toilet 4 -6 1
0880799c157b4dff08f90db221d7f884 bathtub -9 -6 2
0880799c157b4dff08f90db221d7f884 bed 8 3 3
0880799c157b4dff08f90db221d7f884 sofa -6 3 1
0880799c157b4dff08f90db221d7f884 bed 1 3 3
0880799c157b4dff08f90db221d7f884 television 3 -4 2
0880799c157b4dff08f90db221d7f884 tv_stand 4 0 2
0880799c157b4dff08f90db221d7f884 television 8 -4 3
0880799c157b4dff08f90db221d7f884 bathtub -4 6 1
0880799c157b4dff08f90db221d7f884 tv_stand -4 -4 0
0880799c157b4dff08f90db221d7f884 toilet -5 3 3
0880799c157b4dff08f90db221d7f884 bed -1 -2 3
0880799c157b4dff08f90db221d7f884 sofa -9 3 1
0880799c157b4dff08f90db221d7f884 bathtub 8 0 1
0880799c157b4dff08f90db221d7f884 bed 0 4 0
0880799c157b4dff08f90db221d7f884 bathtub -9 6 2
0880799c157b4dff08f90db221d7f884 tv_stand 3 -2 0
0880799c157b4dff08f90db221d7f884 sofa 4 -3 2
0880799c157b4dff08f90db221d7f884 bed 6 2 3
0880799c157b4dff08f90db221d7f884 bed 3 -6 1
0880799c157b4dff08f90db221d7f884 tv_stand 1 2 3
0880799c157b4dff08f90db221d7f884 sofa 8 -2 1
0880799c157b4dff08f90db221d7f884 television 0 -2 1
0880799c157b4dff08f90db221d7f884 television -4 -4 2
0880799c157b4dff08f90db221d7f884 tv_stand -9 -4 0
0880799c157b4dff08f90db221d7f884 bathtub -9 -6 3
0880799c157b4dff08f90db221d7f884 sofa -4 1 0
0880799c157b4dff08f90db221d7f884 toilet 0 -2 1
0880799c157b4dff08f90db221d7f884 sofa -9 -3 1
0880799c157b4dff08f90db221d7f884 toilet 2 -3 3
0880799c157b4dff08f90db221d7f884 bathtub 4 -5 2
0880799c157b4dff08f90db221d7f884 toilet -5 1 1
0880799c157b4dff08f90db221d7f884 tv_stand 6 4 3
0880799c157b4dff08f90db221d7f884 television -4 -3 0
0880799c157b4dff08f90db221d7f884 tv_stand -9 6 1
0880799c157b4dff08f90db221d7f884 sofa -4 0 1
0880799c157b4dff08f90db221d7f884 bed -4 0 3
0880799c157b4dff08f90db221d7f884 toilet -9 -2 0
0880799c157b4dff08f90db221d7f884 television -1 5 2
